# format: x, y, z, (trackId)+
410.888, -58.0098, 491.014, 629
413.498, -35.4322, 622.598, 582
414.287, -24.1549, 450.026, 416
414.416, 22.3076, 234.831, 1045
413.019, 40.2417, 1050.24, 744
356.878, 211.794, 1610.92, 8068
355.276, 214.506, 780.885, 2832
348.784, 224.896, 135.344, 667
346.99, 227.641, 1448.6, 7278
347.442, 226.97, 597.976, 108
346.876, 227.809, 1462.31, 7278
250.774, 330.669, 525.367, 1005
236.327, 341.131, 784.533, 432
233.925, 342.751, 763.192, 432
201.625, 362.749, 445.991, 658
189.928, 368.988, 1008.87, 7469
184.073, 371.91, 1212.88, 6551
168.251, 379.323, 869.893, 229
168.328, 379.288, 853.992, 229
52.0656, 411.723, 1138.28, 661
55.5277, 411.237, 682.31, 2038
52.7151, 411.632, 405.032, 2038
43.3672, 412.69, 587.016, 2038
41.755, 412.86, 142.32, 22
26.1226, 414.149, 169.824, 496
25.1248, 414.219, 553.746, 2038
9.11169, 414.897, 1127.53, 661
1.47865, 414.962, 637.966, 2038
-4.39429, 414.962, 890.619, 747
-6.67562, 414.962, 1040.04, 6547
-7.33537, 414.959, 689.98, 2038
-27.9256, 414.023, 1119.16, 661
-26.2839, 414.138, 111.916, 109
-32.5489, 413.7, 1261.78, 236
-36.9012, 413.37, 1249.78, 236
-37.3755, 413.32, 759.503, 2038
-44.1015, 412.613, 440.675, 694
-50.2307, 411.981, 1113.39, 661
-165.858, 380.388, 1253.91, 2038
-174.516, 376.534, 379.227, 261
-181.053, 373.383, 856.32, 6549
-193.425, 367.128, 1221.12, 2038
-199.917, 363.676, 1218.11, 2038
-209.878, 357.984, 1214.92, 2038
-206.865, 359.724, 740.32, 573
-203.842, 361.469, 642.035, 601
-218.66, 352.681, 1214.07, 2038
-217.192, 353.598, 280.947, 2943
-237.427, 340.389, 1604.09, 642
-239.414, 338.977, 1624.57, 642
-249.27, 331.817, 929.861, 72
-251.486, 330.112, 1241.52, 2038
-249.973, 331.294, 290.948, 417
-334.838, 245.111, 1219.45, 7134
-333.648, 246.749, 411.655, 736
-334.66, 245.357, 1315.74, 8335
-336.243, 243.178, 1299.35, 8335
-345.062, 230.499, 283.266, 611
-352.142, 219.522, 683.331, 1453
-352.881, 218.339, 650.749, 210
-356.376, 212.664, 840.537, 2580
-360.17, 206.092, 1598.47, 2038
-364.566, 198.243, 1328.27, 2038
-369.448, 189.062, 823.36, 186
-370.358, 187.255, 236.224, 7470
-374.549, 178.662, 1401.64, 722
-374.549, 178.662, 1365.44, 722
-374.549, 178.662, 292.938, 7470
-376.278, 175.09, 1381.25, 722
-376.697, 174.148, 415.953, 7470
-376.697, 174.148, 316.953, 7470
-384.378, 156.36, 988.083, 2038
-412.2, 48.0305, 1046.77, 606
-412.949, 40.9044, 222.458, 402
-413.236, 38.1784, 601.672, 2038
-414.576, 18.3231, 542.342, 2038
-414.698, 14.8223, 302.647, 2236
-414.855, 10.3176, 975.459, 2236
-414.962, 6.39444, 345.958, 702
-414.962, -3.29856, 590.326, 396
-414.962, -0.121679, 504.413, 6047
-414.962, -1.95601, 719.363, 2015
-414.491, -20.7325, 503.111, 356
-414.485, -20.9257, 1616.2, 7417
-413.658, -33.1442, 655.614, 2038
-411.276, -55.2482, 525.711, 2038
-382.593, -160.777, 834.427, 680
-382.69, -160.537, 868.879, 680
-376.494, -174.606, 1605.71, 413
-374.84, -178.065, 163.368, 28
-374.549, -178.662, 1585.42, 413
-373.143, -181.544, 986, 6994
-368.854, -190.179, 1430.79, 2156
-360.887, -204.85, 862.087, 748
-358.118, -209.646, 874.343, 705
-355.487, -214.17, 839.805, 748
-344.862, -230.795, 375.982, 683
-251.636, -329.995, 548.479, 480
-252.914, -328.997, 16.9675, 2590
